tmdb_id,title,original_title,overview,tagline,genres,actors,directors,writers,keywords,release_date,certification,runtime,vote_average,vote_count,popularity,poster_path,backdrop_path,original_language,status,budget,revenue,similar_movies,last_updated,combined_features
801688,Kalki 2898-AD,కల్కి 2898-ఎ.డి,"In the year 2898 AD, around 6000 years after Kurukshetra war, Ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and Bhairava, a wisecracking and self-interested bounty hunter, tired of the perilous life becomes the hurdle in the process.","When the world is taken over by darkness, a new force will arise.","['Drama', 'Action', 'Fantasy', 'Science Fiction']","['Amitabh Bachchan', 'Prabhas', 'Deepika Padukone', 'Kamal Haasan', 'Saswata Chatterjee', 'Shobana', 'Rajendra Prasad', 'Pasupathy']",['Nag Ashwin'],"['Nag Ashwin', 'Nag Ashwin']","['rebellion', 'hero', 'temple', 'dystopia', 'villain', 'desert', 'religious statue', 'futuristic society', 'quest', 'imperialism', 'ancient temple', 'indian folklore', 'evil empire', 'fantasy', 'indian gods']",2024-06-26,UA,176,6.429,169,4.5396,/rstcAnBeCkxNQjNp3YXrF6IP1tW.jpg,/o8XSR1SONnjcsv84NRu6Mwsl5io.jpg,te,Released,75000000,141000000,"[{'id': 1317088, 'title': 'The Assessment', 'poster_path': '/o1K7be85FAauSbVPzCQ0GjOXUqu.jpg'}, {'id': 10191, 'title': 'How to Train Your Dragon', 'poster_path': '/ygGmAO60t8GyqUo9xYeYxSZAR3b.jpg'}, {'id': 10192, 'title': 'Shrek Forever After', 'poster_path': '/6HrfPZtKcGmX2tUWW3cnciZTaSD.jpg'}, {'id': 10195, 'title': 'Thor', 'poster_path': '/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg'}, {'id': 10198, 'title': 'The Princess and the Frog', 'poster_path': '/v6nAUs62OJ4DXmnnmPFeVmMz8H9.jpg'}]",2026-04-02T16:15:02.240363,"kalki 2898-adkalki 2898-adkalki 2898-ad in the year 2898 ad, around 6000 years after kurukshetra war, ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and bhairava, a wisecracking and self-interested bounty hunter, tired of the perilous life becomes the hurdle in the process.in the year 2898 ad, around 6000 years after kurukshetra war, ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and bhairava, a wisecracking and self-interested bounty hunter, tired of the perilous life becomes the hurdle in the process. drama action fantasy science fiction drama action fantasy science fiction  amitabh bachchan prabhas deepika padukone kamal haasan saswata chatterjee shobana rajendra prasad pasupathy  nag ashwin nag ashwin  rebellion hero temple dystopia villain desert religious statue futuristic society quest imperialism ancient temple indian folklore evil empire fantasy indian gods "
857598,Pushpa 2 - The Rule,పుష్పా 2 - The Rule,"As his smuggling empire grows, a brazen Pushpa longs for power and respect on his vengeful journey, while facing old rivals and new.",The rule begins.,"['Action', 'Drama', 'Thriller', 'Crime']","['Allu Arjun', 'Rashmika Mandanna', 'Fahadh Faasil', 'Jagadeesh Bandari', 'Rao Ramesh', 'Sunil Varma', 'Anasuya Bharadwaj', 'Ajay']",['Sukumar'],"['Sukumar', 'Sukumar', 'Vemareddi Thummallapalli']","['sequel', 'ego clash']",2024-12-04,U/A 16+,201,6.345,132,2.8202,/bhxZj3y59cK7JtGdV285dhDRaMe.jpg,/keC82cQ8q0ZHthrbvzWq04kGnbv.jpg,te,Released,52900000,219000000,"[{'id': 260202, 'title': 'Turks & Caicos', 'poster_path': '/sbDqSsAhKGybpZk5vGpDRg6cSRx.jpg'}, {'id': 10281, 'title': 'Friday the 13th Part VII - The New Blood', 'poster_path': '/rUzk9Qnyz2FZGxHMBrq6DYIQZkO.jpg'}, {'id': 10225, 'title': 'Jason Lives - Friday the 13th Part VI', 'poster_path': '/6vdUpHvkspQonXBdWcLWW5ciEPJ.jpg'}, {'id': 10303, 'title': 'The Jewel of the Nile', 'poster_path': '/6VjsIhnIcrz2XdQVHdsMj5DdSa1.jpg'}, {'id': 10306, 'title': 'Poltergeist III', 'poster_path': '/pLewUibOJLGISvMqB94mAMdjz2q.jpg'}]",2026-04-02T16:15:03.288570,"pushpa 2 - the rulepushpa 2 - the rulepushpa 2 - the rule as his smuggling empire grows, a brazen pushpa longs for power and respect on his vengeful journey, while facing old rivals and new.as his smuggling empire grows, a brazen pushpa longs for power and respect on his vengeful journey, while facing old rivals and new. action drama thriller crime action drama thriller crime  allu arjun rashmika mandanna fahadh faasil jagadeesh bandari rao ramesh sunil varma anasuya bharadwaj ajay  sukumar sukumar  sequel ego clash "
869760,Hanu-Man,హను-మాన్,"In a small village, Hanumanthu, a petty thief, finds a mysterious gem, that gives him god-like powers. Will he succeed in keeping these powers from falling into the wrong hands and save his village?",The Most Powerful Superhero In The Universe,"['Fantasy', 'Action', 'Comedy', 'Science Fiction']","['Teja Sajja', 'Vinay Rai', 'Amritha Aiyer', 'Varalaxmi Sarathkumar', 'Vennela Kishore', 'Getup Srinu', 'Deepak Shetty', 'Samuthirakani']",['Prasanth Varma'],"['Prasanth Varma', 'scriptsville']","['hanuman', 'prasanth varma cinematic universe']",2024-01-11,UA,159,6.569,36,2.0775,/m1zq48rWSXxplzoJR8YtbXWnnHM.jpg,/evUpfs4dw7AuZ5k8dkePVMFSg0T.jpg,te,Released,4809416,0,"[{'id': 1532239, 'title': 'Chiranjeevi Hanuman: The Eternal', 'poster_path': '/5PJNeckEmOcMVh8xT4YVjdUf5nj.jpg'}, {'id': 217086, 'title': 'Hanuman and the Seven Ultramen', 'poster_path': '/7aap7ygcvSIcVEiE9IqTw7a4XJA.jpg'}, {'id': 821902, 'title': 'Siyavar Ram', 'poster_path': '/lWFW7H2w5oVmujMRyWPucOBumgs.jpg'}, {'id': 1413633, 'title': 'Jahan Jahan Charan Pade Raghuvar Ke', 'poster_path': None}, {'id': 1317088, 'title': 'The Assessment', 'poster_path': '/o1K7be85FAauSbVPzCQ0GjOXUqu.jpg'}]",2026-04-02T16:15:05.317559,"hanu-manhanu-manhanu-man in a small village, hanumanthu, a petty thief, finds a mysterious gem, that gives him god-like powers. will he succeed in keeping these powers from falling into the wrong hands and save his village?in a small village, hanumanthu, a petty thief, finds a mysterious gem, that gives him god-like powers. will he succeed in keeping these powers from falling into the wrong hands and save his village? fantasy action comedy science fiction fantasy action comedy science fiction  teja sajja vinay rai amritha aiyer varalaxmi sarathkumar vennela kishore getup srinu deepak shetty samuthirakani  prasanth varma prasanth varma  hanuman prasanth varma cinematic universe "
1232232,Kannappa,కన్నప్ప,"After witnessing the cruel sacrifice of his childhood friend, an atheist warrior rejects religion until love forces him to find his own faith.",The Bravest Warrior. The Ultimate Devotee.,"['Fantasy', 'History', 'Drama']","['Vishnu Manchu', 'Preity Mukhundhan', 'Akshay Kumar', 'Mohan Babu', 'Mohanlal', 'Prabhas', 'Kajal Aggarwal', 'R. Sarathkumar']",['Mukesh Kumar Singh'],"['Vishnu Manchu', 'Gopalakrishna Paruchuri']",['historical fantasy'],2025-06-26,NR,182,4.6,10,2.0047,/6LhE7IwhXgaNi33l0ltYahIB91i.jpg,/sq07TPUrruUkLsU0apGchnRmWlN.jpg,te,Released,0,0,"[{'id': 789771, 'title': 'The Mysterious Fox', 'poster_path': '/wdxo1SqtO71sog7SGYvohU4V4yh.jpg'}, {'id': 1161395, 'title': ""Help, I Accidentally Stole My Shixiong's Crush!"", 'poster_path': '/r31ZT1XjaaAqAgskCWaDAmlfRcy.jpg'}, {'id': 1160301, 'title': 'The Fox Spirit and The Little Priest', 'poster_path': '/33R4x71OB8zEfYNZUiFI0kO7Nzm.jpg'}, {'id': 1160840, 'title': 'A Search Through Nine Lifetimes', 'poster_path': '/kpVhk8S3iB6jsBxGh0xknGNTjKY.jpg'}, {'id': 1160879, 'title': 'The Fox Spirit Repays a Debt', 'poster_path': '/q4z5XqVZiPcST8MAM8V80HJRQ8C.jpg'}]",2026-04-02T16:15:06.151995,"kannappakannappakannappa after witnessing the cruel sacrifice of his childhood friend, an atheist warrior rejects religion until love forces him to find his own faith.after witnessing the cruel sacrifice of his childhood friend, an atheist warrior rejects religion until love forces him to find his own faith. fantasy history drama fantasy history drama  vishnu manchu preity mukhundhan akshay kumar mohan babu mohanlal prabhas kajal aggarwal r. sarathkumar  mukesh kumar singh mukesh kumar singh  historical fantasy "
1222479,Mirai,మిరాయి,"Following the historic Kalinga battle, where King Ashoka of the Maurya dynasty emerged as the winner, he chose to walk the path of peace instead of continuing warfare. Yet, the kingdom appointed nine warriors to protect some ancient scriptures rumored to have the ability to make someone divine or godlike.",SUPER YODHA,"['Action', 'Adventure', 'Fantasy']","['Teja Sajja', 'Manchu Manoj', 'Ritika Nayak', 'Raj Zutshi', 'Rana Daggubati', 'Shriya Saran', 'Jayaram', 'Jagapati Babu']",['Karthik Ghattamaneni'],"['Karthik Ghattamaneni', 'Manibabu Karanam']",['mirai collection'],2025-09-12,UA,166,6.2,18,1.8771,/gVzWHYThVODV5MgccDoyQxPFXve.jpg,/1Xw1Gh4XTWwrkIIISOGFBMPvO8.jpg,te,Released,0,0,"[{'id': 1562708, 'title': 'Mirai Jaithraya', 'poster_path': '/nw9nHlTaB30M9l1PLZNPItRfH9E.jpg'}, {'id': 1492461, 'title': 'Chrysalis', 'poster_path': '/V93SwdSRMsdq21JxfIHSik71VI.jpg'}, {'id': 2309, 'title': 'Inkheart', 'poster_path': '/eXFK5aBDzUPSynAhSKMJy7xLxqE.jpg'}, {'id': 2310, 'title': 'Beowulf', 'poster_path': '/7QsWYyJAV97N9jOh21pdRIqJeJq.jpg'}, {'id': 2312, 'title': 'In the Name of the King: A Dungeon Siege Tale', 'poster_path': '/bbN1lmDk1PT0GsTFCy179sk5nIF.jpg'}]",2026-04-02T16:15:07.590307,"miraimiraimirai following the historic kalinga battle, where king ashoka of the maurya dynasty emerged as the winner, he chose to walk the path of peace instead of continuing warfare. yet, the kingdom appointed nine warriors to protect some ancient scriptures rumored to have the ability to make someone divine or godlike.following the historic kalinga battle, where king ashoka of the maurya dynasty emerged as the winner, he chose to walk the path of peace instead of continuing warfare. yet, the kingdom appointed nine warriors to protect some ancient scriptures rumored to have the ability to make someone divine or godlike. action adventure fantasy action adventure fantasy  teja sajja manchu manoj ritika nayak raj zutshi rana daggubati shriya saran jayaram jagapati babu  karthik ghattamaneni karthik ghattamaneni  mirai collection "
1141320,The Family Star,ద ఫ్యామిలీ స్తార్,"Govardhan, a devoted architect from Hyderabad, juggles supporting his extended family while seeking a partner who understands his commitments. When he discovers Indu thesis on his family, he challenges her, leading to unexpected twists as they navigate misunderstandings and eventually find love amidst sacrifice and understanding",,"['Family', 'Romance', 'Comedy', 'Drama', 'Action']","['Vijay Deverakonda', 'Mrunal Thakur', 'Rohini Hattangadi', 'Vasuki Anand', 'Abhinaya', 'Ravi Prakash', 'Raja Chembolu', 'Jagapati Babu']",['Parasuram Petla'],"['Parasuram Petla', 'Vasu Varma']",[],2024-04-04,NR,155,4.7,16,1.8549,/2mLyHeWwU0Ocv9Jvk72IDqZqT7G.jpg,/1EECShloaXfQpXLphUzpDKxSTeA.jpg,te,Released,0,0,[],2026-04-02T16:15:19.036585,"the family starthe family starthe family star govardhan, a devoted architect from hyderabad, juggles supporting his extended family while seeking a partner who understands his commitments. when he discovers indu thesis on his family, he challenges her, leading to unexpected twists as they navigate misunderstandings and eventually find love amidst sacrifice and understandinggovardhan, a devoted architect from hyderabad, juggles supporting his extended family while seeking a partner who understands his commitments. when he discovers indu thesis on his family, he challenges her, leading to unexpected twists as they navigate misunderstandings and eventually find love amidst sacrifice and understanding family romance comedy drama action family romance comedy drama action  vijay deverakonda mrunal thakur rohini hattangadi vasuki anand abhinaya ravi prakash raja chembolu jagapati babu  parasuram petla parasuram petla   "
1239511,Lucky Baskhar,లక్కీ భాస్కర్‌,A cash-strapped bank cashier embarks on a risky investment scheme and soon gets drawn into the murky world of money laundering.,,"['Thriller', 'Crime', 'Drama']","['Dulquer Salmaan', 'Meenakshi Chaudhary', 'Rajkumar Kasireddy', 'Ramki', 'Maganti Srinath', 'Sai Kumar', 'Sachin Khedekar', 'Tinnu Anand']",['Venky Atluri'],['Venky Atluri'],"['money laundering', 'anti hero', 'bank employee', 'investment']",2024-10-30,UA,148,7.589,73,1.6765,/a47JQFl9L7VDa79tEvnTOJe0rPa.jpg,/q8UyN4XhpmChtneZXdZ8fktQka6.jpg,te,Released,0,0,"[{'id': 627, 'title': 'Trainspotting', 'poster_path': '/y0HmDV0bZDTtXWHqqYYbT9XoshB.jpg'}, {'id': 2076, 'title': 'Swindle', 'poster_path': '/h5LSYgE5y4firthL82t1s84nny9.jpg'}, {'id': 2087, 'title': 'The Getaway', 'poster_path': '/ftbdJTJi6mR5iZV5ESJWv8f8pWN.jpg'}, {'id': 2112, 'title': 'Payback', 'poster_path': '/8Bqlv2kbOyZFqfiPNgzdBscqYPn.jpg'}, {'id': 2153, 'title': 'The Driver', 'poster_path': '/zSpk2OH4MCgLGB06XDv4YUfBTv6.jpg'}]",2026-04-02T16:15:20.657837,lucky baskharlucky baskharlucky baskhar a cash-strapped bank cashier embarks on a risky investment scheme and soon gets drawn into the murky world of money laundering.a cash-strapped bank cashier embarks on a risky investment scheme and soon gets drawn into the murky world of money laundering. thriller crime drama thriller crime drama  dulquer salmaan meenakshi chaudhary rajkumar kasireddy ramki maganti srinath sai kumar sachin khedekar tinnu anand  venky atluri venky atluri  money laundering anti hero bank employee investment 
1439713,Mana ShankaraVaraPrasad Garu,మన శంకర వరప్రసాద్ గారు,"National security officer Vara Prasad, protecting his estranged wife and kids from a vengeful ex-cop, sees it as a chance to rebuild their relationship after six years apart.",Pandagaki Vastunnaru,"['Action', 'Comedy', 'Mystery']","['Chiranjeevi', 'Nayanthara', 'Venkatesh', 'Catherine Tresa', 'Harsha Vardhan', 'Abhinav Gomatam', 'Sachin Khedekar', 'Sharat Saxena']",['Anil Ravipudi'],['Anil Ravipudi'],[],2026-01-11,U/A 13+,162,6.1,19,1.2483,/sfj6SLSzbzHN2633HcqabHFJz5y.jpg,/x7jZHALUR58sAzEw0Ms9ohfapP8.jpg,te,Released,0,0,[],2026-04-02T16:15:23.451757,"mana shankaravaraprasad garumana shankaravaraprasad garumana shankaravaraprasad garu national security officer vara prasad, protecting his estranged wife and kids from a vengeful ex-cop, sees it as a chance to rebuild their relationship after six years apart.national security officer vara prasad, protecting his estranged wife and kids from a vengeful ex-cop, sees it as a chance to rebuild their relationship after six years apart. action comedy mystery action comedy mystery  chiranjeevi nayanthara venkatesh catherine tresa harsha vardhan abhinav gomatam sachin khedekar sharat saxena  anil ravipudi anil ravipudi   "
