tmdb_id,title,original_title,overview,tagline,genres,actors,directors,writers,keywords,release_date,certification,runtime,vote_average,vote_count,popularity,poster_path,backdrop_path,original_language,status,budget,revenue,similar_movies,last_updated
69924,Veera,వీర,"Veera Venkata Satyanarayana aka Veera is the son of a landlord. But his step mother and step sister stay in city away from them. Meanwhile, his father gets killed from a goon and Veera too murders him. However, a big industrialist plans for a power project in their village and wants to vacate the entire village and takes the help of a local don Rayudu. But Veera halts their efforts. At this juncture, Veera marries Kabaddi Chitti and his brother marries the daughter of commissioner of police.....",,"['Action', 'Comedy', 'Drama']","['Ravi Teja', 'Kajal Aggarwal', 'Ali Basha', 'Taapsee Pannu', 'Sridevi Vijayakumar', 'Shaam', 'Roja Selvamani', 'Brahmanandam']",['Ramesh Varma'],[],[],2011-05-20,UA,145,5.1,12,1.4668,/l9901V8tyk7KzhWoRU7qmHcUn9r.jpg,/6jSEkecB0NZFEBl8KhCv8XSwR92.jpg,te,Released,0,0,[],2026-04-01T12:32:53.335432
1424217,Court: State vs. A Nobody,కోర్ట్: State vs. A Nobody,"A determined lawyer takes on a high-stakes case to defend a 19-year-old boy, challenging a system that has already branded him guilty.",,"['Drama', 'Romance', 'Crime']","['Priyadarshi Pullikonda', 'Harsh Roshan', 'Sridevi Apalla', 'Sivaji Sontineni', 'Sai Kumar', 'Harsha Vardhan', 'Rohini', 'Surabhi Prabhavathi']",['Ram Jagadeesh'],"['Vamsidhar Sirigiri', 'Karthikeya Sreenivass', 'Ram Jagadeesh', 'Ram Jagadeesh']","['trial', 'courtroom', 'legal battle', 'hopeful']",2025-03-14,U/A 13+,149,7.56,25,1.4632,/4pEX67LJd7ZIqYWtksBtOgQEGcQ.jpg,/efMmUfbqfMTtheqjcWiHDtxcXbA.jpg,te,Released,0,7817325,"[{'id': 1813, 'title': ""The Devil's Advocate"", 'poster_path': '/5ZzBGpxy55OQzHxKVY11IpY6a0o.jpg'}, {'id': 1645, 'title': 'A Time to Kill', 'poster_path': '/w8UCke112E9jrhjKcwG32kyhTx5.jpg'}, {'id': 3009, 'title': 'The Trial', 'poster_path': '/4qDUe5HqB8pXNplSBlsoyVjNP3r.jpg'}, {'id': 254139, 'title': 'The Rose Garden', 'poster_path': '/rWN6xIyAcXMZ5yFp4LdQvNTlpnL.jpg'}, {'id': 4202, 'title': 'Danton', 'poster_path': '/az5XParmpea0fxAjwEgHpUrXzw0.jpg'}]",2026-04-01T12:32:54.059985
77043,Yamadonga,యమదొంగ,"Raja, an orphaned thief, dies while helping a gang in kidnapping a wealthy heiress, Mahi, in exchange of money. He then lands in Yamlok and fights with Yama, the god of death, to get his life back.",,"['Fantasy', 'Action', 'Comedy']","['N.T. Rama Rao Jr.', 'Priyamani', 'Mamta Mohandas', 'Mohan Babu', 'Brahmanandam', 'Ali Basha', 'Jayaprakash Reddy', 'Raghu Babu']",['S. S. Rajamouli'],"['Vijayendra Prasad', 'S. S. Rajamouli', 'Vijayendra Prasad']",[],2007-08-15,UA,178,6.167,30,1.4558,/3CcAZYYkG0dralHCyOmouS6dNPh.jpg,/lxK7KzZEk6aIQsOt5GryKQpxa8P.jpg,te,Released,4550000,10000000,"[{'id': 847, 'title': 'Willow', 'poster_path': '/pAIRGMIdN7ZdZhflazdV2ezuJ9f.jpg'}, {'id': 879, 'title': 'Hook', 'poster_path': '/a6rB1lGXoGms7gWxRfJneQmAjNV.jpg'}, {'id': 866, 'title': 'Finding Neverland', 'poster_path': '/5JyDPH4qdr0I6pF7Bjh1Qrf1Jhh.jpg'}, {'id': 1024, 'title': 'Heavenly Creatures', 'poster_path': '/uvb86wVCIqD3Rlbr0GTNgWDF7Zo.jpg'}, {'id': 252391, 'title': ""Kiki's Delivery Service"", 'poster_path': '/4okVsLYuRH9DSzLAvg44DcckkiB.jpg'}]",2026-04-01T12:32:54.777653
1127824,Double iSmart,డబుల్ ఇస్మార్ట్,"Big Bull, a notorious assassin, wants to achieve immortality by transferring his memories to ""iSmart"" Shankar, who already has another's person's memories, leading to the intense confrontation between Shankar and Big Bull.",,"['Action', 'Science Fiction', 'Thriller']","['Ram Pothineni', 'Sanjay Dutt', 'Kavya Thapar', 'Sayaji Shinde', 'Getup Srinu', 'Makrand Deshpande', 'Temper Vamsi', 'Gurbani Judge']",['Puri Jagannadh'],['Puri Jagannadh'],[],2024-08-15,A,162,3.8,12,1.4396,/kwaitETl1wiQ9kgOMxIuNOawcJP.jpg,/v7aNfbADrq8ENgY9FiIjkEi937j.jpg,te,Released,0,0,[],2026-04-01T12:32:55.480327
82324,Thulasi,తులసి,"Tired of her husband's crusade against factional feuds, Thulasi's wife leaves him. However, when their fatally ill son is abducted by factionists, he must resort to violence again.",,"['Action', 'Family', 'Drama']","['Venkatesh', 'Nayanthara', 'Vijayakumar', 'Ashish Vidhyarthi', 'Rahul Dev', 'Ramya Krishnan', 'Sivaji Sontineni', 'Ali Basha']",['Boyapati Srinu'],"['Boyapati Srinu', 'Boyapati Srinu', 'Siva Akula']",[],2007-10-12,NR,150,5.7,11,1.4373,/yqYEDmoWaQImAL6D9SrKqroUDZJ.jpg,/aAu8mTKLq836kAQDq9NIItKOPQM.jpg,te,Released,0,0,[],2026-04-01T12:32:56.210357
863931,GodFather,గాడ్‌ఫాదర్‌,"The sudden demise of the celebrated leader PKR leaves the ruling party in a political crisis and shakes up the family. The party has to elect a leader, and more than one player is in contention. Everyone’s intentions are blurred, and loyalties are in question. Brahma is a game changer in this squabble. Who will succeed as the leader and become the CM?",,"['Action', 'Drama']","['Chiranjeevi', 'Nayanthara', 'Satyadev Kancharana', 'Salman Khan', 'Tanya Ravichandran', 'Samuthirakani', 'Brahmaji', 'Murali Sharma']",['Mohan Raja'],"['Mohan Raja', 'Mohan Raja']",['remake'],2022-10-05,UA,157,5.9,18,1.436,/im4u5huiePz0PKFWF4Thb7Tc3db.jpg,/nMZ2hUyw8PXT4a1Nbhzr9LX95ie.jpg,te,Released,0,0,"[{'id': 252738, 'title': 'Oshin', 'poster_path': '/tvEyrBudkgm31KAc24H2nTGxfTv.jpg'}, {'id': 1598, 'title': 'Cape Fear', 'poster_path': '/meJZAAuVcjic2ipvbOPz5UlE4P9.jpg'}, {'id': 774412, 'title': 'Zerrissen - Zwischen zwei Müttern', 'poster_path': '/4tBfqbqNDTbtSErcPtEtSsd1haF.jpg'}, {'id': 252852, 'title': 'Death Takes a Holiday', 'poster_path': '/lobwPbKxW44fq0qC4hoOw3zahBL.jpg'}, {'id': 1644, 'title': 'The Vanishing', 'poster_path': '/whCG6TGm3h9AHBkfh5M0MnJ8zT0.jpg'}]",2026-04-01T12:32:56.945145
295587,Loukyam,లౌక్యం,"Venky, a man who values his friends, goes against a local crime lord, Babji, when he helps his best friend elope with the gangster's daughter. Consequently, Babji orders a manhunt for Venky.",,"['Action', 'Comedy', 'Romance']","['Gopichand', 'Rakul Preet Singh', 'Sampath Raj', 'Brahmanandam', 'Prudhviraj', 'Hamsa Nandini', 'Chandramohan', 'Pragathi Mahavadi']",['Sriwass'],"['Kona Venkat', 'Gopi Mohan']",[],2014-09-26,U,149,5.7,11,1.4317,/twyNCGQ85ey1pGQQhnrogBYj7yf.jpg,/1gRytLoIezSyls3BoUXgZhGEcIp.jpg,te,Released,0,0,[],2026-04-01T12:32:57.691863
71918,King,కింగ్,"After Coimbatore-based Ravichandra Verma passes away, his young son, Raja, assumes the responsibility of running the family business as well as ensuring that his brother, Ajay, gets a good education - much to the chagrin of three of his uncles. Years later, while on a trip to Uttaranchal, despite of warnings from a Pandit, he gets killed by a female assassin, but his family is informed that he is missing. Shortly thereafter, Gyaneshwar Kale and his sister, Sravani/Shivani, will inform the family that Raja is still alive but is handicapped and suffers from memory loss. The family is overjoyed but are not aware that Raja is actually a hoodlum/extortionist known as Bottu Seenu/Raghu Rokda.",A hoodlum look-alike assumes the identity of a noble man.,"['Action', 'Comedy', 'Crime']","['Nagarjuna Akkineni', 'Trisha Krishnan', 'Srihari', 'Mamta Mohandas', 'Brahmanandam', 'Ajay', 'Sunil Varma', 'Srinivasa Reddy']",['Sreenu Vaitla'],"['Kona Venkat', 'Sreenu Vaitla', 'Gopi Mohan']",[],2008-12-25,U,173,5.2,20,1.4151,/u84c4qumExsXiV1PPS2ljpC6MSB.jpg,/3GiZYLUdYSDsCrP64qAfh6F5Q6A.jpg,te,Released,0,0,[],2026-04-01T12:32:58.458720
227056,Ramayya Vasthavayya,రామయ్యా వస్తావయ్యా,"Nandu, a happy-go-lucky college student falls head over heels in love with Akarsha and goes all out to woo her. But only after Akarsha falls for him does she realize that he has revenge on his mind.",,"['Drama', 'Action']","['N.T. Rama Rao Jr.', 'Samantha Ruth Prabhu', 'Shruti Haasan', 'Mukesh Rishi', 'Rao Ramesh', 'Kota Srinivasa Rao', 'Vidyullekha Raman', 'P. Ravi Shankar']",['Harish Shankar'],"['Harish Shankar', 'Ramesh Reddy', 'Satish Vegesna']",[],2013-10-10,NR,166,4.2,15,1.4144,/t8VCRPMkHQd7fWD9QuPloI9RgSj.jpg,/8EYCnQoHAIHpJzEvCjYgv9In1BI.jpg,te,Released,4200000,4300000,[],2026-04-01T12:32:59.177664
253533,Manam,మనం,"A married couple die in an accident, leaving behind a son. As he grows up and becomes successful, he comes across reincarnations of his father and mother as youngsters, and vows to bring them back together.",,"['Comedy', 'Drama', 'Fantasy', 'Family']","['Nagarjuna Akkineni', 'Nageshwara Rao Akkineni', 'Naga Chaitanya Akkineni', 'Shriya Saran', 'Samantha Ruth Prabhu', 'Brahmanandam', 'Ali Basha', 'Posani Krishna Murali']",['Vikram Kumar'],"['Vikram Kumar', 'Vikram Kumar']","['reincarnation', 'karma']",2014-05-23,U,163,7.119,59,1.4063,/pas4iupGgxk0UuhiILiWHDSkMBC.jpg,/g6Ef9NwRBmVUAm9zWpLutrWak6A.jpg,te,Released,0,0,"[{'id': 599960, 'title': 'French Exit', 'poster_path': '/l5iZuQr62YCs72AZ9P3HwApowaC.jpg'}, {'id': 2978, 'title': 'Ghostbusters II', 'poster_path': '/yObYPMA58DnTMvJooFW7GG6jWAt.jpg'}, {'id': 10261, 'title': 'Switch', 'poster_path': '/ddmOMoFWMpXJSU0YFddBU7d6kWT.jpg'}, {'id': 253400, 'title': 'Demonic Umbrella', 'poster_path': '/8ZH4IMWZjwgkd0kxr6cL6AmH5k6.jpg'}, {'id': 1689, 'title': 'Little Buddha', 'poster_path': '/xy70xtdoKZ3PxlKkakwdhL3UFDQ.jpg'}]",2026-04-01T12:32:59.892009
